ID,Longitude,Latitude,LocalX,LocalY
573,100.356125,29.539057,34.519165,-51.041508
574,100.366440,29.538990,35.519012,-51.045769
575,100.376755,29.538921,36.518860,-51.050152
576,100.387077,29.538855,37.519447,-51.054234
577,100.397392,29.538784,38.519302,-51.058647
578,100.407707,29.538715,39.519154,-51.062767
579,100.418022,29.538643,40.519005,-51.067215
580,100.428337,29.538572,41.518860,-51.071358
581,100.438660,29.538500,42.519459,-51.075630
582,100.448975,29.538427,43.519314,-51.079803
583,100.459290,29.538353,44.519173,-51.084110
584,100.469604,29.538279,45.519035,-51.088322
585,100.479919,29.538202,46.518894,-51.092651
586,100.490234,29.538126,47.518757,-51.096897
587,100.500557,29.538048,48.519363,-51.101261
